lat,lon,age_mid,min_age,max_age,group,genesis_class,Minerals,Mn Ion,mindat ID,Locality containing Mineral
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,10472,"Esperanza Mine, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.725833333333,24.013888888889,11.9,3.6,20.2,Other,Other/uncertain,Hetaerolite,Mn^3+,10472,"Esperanza Mine, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Other/uncertain,Hollandite,Mn^4+,10472,"Esperanza Mine, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,8009,"Km-3 Mine, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.760833333333,24.048888888888996,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Coronadite,Mn^4+,8009,"Km-3 Mine, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.725833333333,24.013888888889,11.9,3.6,20.2,Other,Other/uncertain,Hetaerolite,Mn^3+,8009,"Km-3 Mine, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,8009,"Km-3 Mine, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.718888888889,24.03333333333299,11.9,3.6,20.2,Other,Other/uncertain,Groutite,Mn^3+,8009,"Km-3 Mine, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Other/uncertain,Hollandite,Mn^4+,8009,"Km-3 Mine, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,10637,"Megala Pefka Mine No. 28, Megala Pefka Mines, Megala Pefka Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,10639,"Sigia Mine, Megala Pefka Mines, Megala Pefka Area, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.760833333333,24.048888888888996,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Coronadite,Mn^4+,225392,"Mine No. 18, Paliokamariza Mines (Paleokamariza Mines), Paliokamariza Area (Paleokamariza Area), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,225392,"Mine No. 18, Paliokamariza Mines (Paleokamariza Mines), Paliokamariza Area (Paleokamariza Area), Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.728333333333,24.024166666666986,11.9,3.6,20.2,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,14189,"Plaka Mines, Plaka, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
37.76,24.02944444444401,11.9,3.6,20.2,A,Marine hydrogenetic/early diagenetic oxide,Asbolane,Mn^4+,8008,"Adami No. 2 Mine & Others, Plaka Mines, Plaka, Lavrion District Mines, Lavreotiki, East Attica, Attica, Greece"
